objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
12,Worth,Georgia,4,#014FA1,8714,0.04590314436538903,289,2024-11-03 18:00:51,8e1b5b62-0eae-4b6a-889d-61357636883e,2024-11-03 18:00:52
35,Upson,Georgia,1,#004FA2,11581,0.008634832915983076,275,2024-11-03 18:00:51,c37ae3f2-7cdb-4008-9812-b5041ef0397e,2024-11-03 18:00:52
41,Carroll,Georgia,1,#004FA2,58015,0.0017236921485822634,153,2024-11-03 18:00:51,80b4b202-bebf-4d65-831e-ce910f2370fc,2024-11-03 18:00:52
42,Cobb,Georgia,87,#004FA2,347360,0.025046061722708433,164,2024-11-03 18:00:51,13cc04ee-4fee-4330-ab59-270d290361b8,2024-11-03 18:00:52
45,Fayette,Georgia,22,#014FA1,54758,0.040176777822418644,186,2024-11-03 18:00:51,79029b74-bbc8-481d-9ecd-7ae4c1bf65a7,2024-11-03 18:00:52
46,Paulding,Georgia,2,#004FA2,73109,0.002735641302712388,241,2024-11-03 18:00:51,d8231557-9eef-46e9-a506-22b12651af49,2024-11-03 18:00:52
47,Clayton,Georgia,1,#004FA2,124069,0.000806003111172009,162,2024-11-03 18:00:51,ab039b0b-a178-4697-9a92-a781c221c41e,2024-11-03 18:00:52
51,Dekalb,Georgia,1,#004FA2,362355,0.00027597245794869674,175,2024-11-03 18:00:51,585a8660-f217-4db4-93f2-a6a346aaa44e,2024-11-03 18:00:52
52,Fulton,Georgia,1,#004FA2,522330,0.00019144984971186798,190,2024-11-03 18:00:51,9c03a53a-ae74-499c-b638-9f6781013069,2024-11-03 18:00:52
60,Gordon,Georgia,3,#004FA2,31500,0.009523809523809525,194,2024-11-03 18:00:51,94608c2d-bdb5-4114-a9db-d9a7364b8896,2024-11-03 18:00:52
67,Pickens,Georgia,3,#004FA2,21992,0.013641324117861038,243,2024-11-03 18:00:51,b4d6cd5a-01a6-4824-a34f-f7450b0dbbe0,2024-11-03 18:00:52
73,Lowndes,Georgia,26,#014FA1,61061,0.04258037044922291,222,2024-11-03 18:00:51,1ba90d39-8182-4b98-8421-93c8d0da39ad,2024-11-03 18:00:52
75,Echols,Georgia,1,#0250A0,690,0.14492753623188406,181,2024-11-03 18:00:51,f3c71468-676a-4945-8c6e-3a22cfb43b0d,2024-11-03 18:00:52
78,Colquitt,Georgia,1,#004FA2,9850,0.01015228426395939,166,2024-11-03 18:00:51,a341f3f6-d201-4bc8-a541-061b81e86778,2024-11-03 18:00:52
81,Tift,Georgia,12,#014FA1,20691,0.05799623024503408,268,2024-11-03 18:00:51,0b24c247-3ebd-4696-a5c5-9517a25040e4,2024-11-03 18:00:52
84,Coffee,Georgia,1,#004FA2,16833,0.0059407116972613324,165,2024-11-03 18:00:51,717c5f68-9a82-4ddb-9001-46945498b6dd,2024-11-03 18:00:52
97,Laurens,Georgia,1,#004FA2,15417,0.006486346241162354,217,2024-11-03 18:00:51,266a9c82-8f2a-4f1d-a8bf-b5236c82916d,2024-11-03 18:00:52
98,Montgomery,Georgia,26,#195B89,1715,1.5160349854227406,233,2024-11-03 18:00:51,f7380c65-75c1-43c4-a41e-7236cfabf4c6,2024-11-03 18:00:52
107,Mcintosh,Georgia,1,#004FA2,8871,0.011272686281140797,228,2024-11-03 18:00:51,470e0b92-baff-4193-a457-1ce0c959b3fb,2024-11-03 18:00:52
111,Tattnall,Georgia,2,#004FA2,19004,0.010524100189433803,263,2024-11-03 18:00:51,ec8767bc-d51d-41ba-afd7-b210ead24e51,2024-11-03 18:00:52
114,Liberty,Georgia,10,#004FA2,33831,0.02955868877656587,219,2024-11-03 18:00:51,23a373d8-cba1-4932-a56f-9bbaaf99e59f,2024-11-03 18:00:52
118,Bibb,Georgia,1,#004FA2,79250,0.0012618296529968453,142,2024-11-03 18:00:51,a26dc8a8-064c-4e03-a279-dc9ab9554f38,2024-11-03 18:00:52
120,Baldwin,Georgia,1,#004FA2,21640,0.004621072088724584,136,2024-11-03 18:00:51,35154e44-9adf-42aa-a4a7-e55eda3ba881,2024-11-03 18:00:52
122,Jones,Georgia,3,#004FA2,13509,0.02220741727737064,214,2024-11-03 18:00:51,e85f2e3f-7020-4a19-806f-29ed24d3a2e1,2024-11-03 18:00:52
131,Jackson,Georgia,1,#004FA2,38969,0.0025661423182529704,208,2024-11-03 18:00:51,31842537-ccab-49c9-b710-357cbdcbfcdb,2024-11-03 18:00:52
133,Clarke,Georgia,1,#004FA2,65002,0.0015384142026399186,160,2024-11-03 18:00:51,69f3a5cf-6c85-4618-b0a1-7cb316e6059d,2024-11-03 18:00:52
141,Wilkes,Georgia,1,#004FA2,7224,0.013842746400885935,287,2024-11-03 18:00:51,f018d9e7-44b3-4e0e-819f-f56bcdaf89cd,2024-11-03 18:00:52
142,Burke,Georgia,10,#0150A1,14085,0.07099751508697195,148,2024-11-03 18:00:51,33b3e3b1-2f60-4e2d-9f90-e87a9364c162,2024-11-03 18:00:52
144,Jefferson,Georgia,1,#004FA2,9699,0.010310341272296113,211,2024-11-03 18:00:51,dbe29682-a81b-4577-b9b9-757f7b4a4645,2024-11-03 18:00:52
146,Screven,Georgia,5,#0150A1,7807,0.0640450877417702,255,2024-11-03 18:00:51,5febe1a0-b382-4243-ac06-aec57fa4e328,2024-11-03 18:00:52
150,Richmond,Georgia,1,#004FA2,102067,0.0009797485965101355,252,2024-11-03 18:00:51,7430f205-83c1-494b-b9db-6c15a1c575e1,2024-11-03 18:00:52
151,Chatham,Georgia,1,#004FA2,164820,0.0006067224851352991,156,2024-11-03 18:00:51,0da15935-fc26-4b81-8ab3-c77e28a4c718,2024-11-03 18:00:52
