objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
3,Grady,Georgia,1,#004FA2,9522,0.010501995379122032,195,2024-10-23 00:15:18,445e9f50-bf2b-4357-b615-22019ef87eb2,2024-10-23 00:15:19
12,Worth,Georgia,3,#014FA1,8719,0.034407615552242234,289,2024-10-23 00:15:18,8e1b5b62-0eae-4b6a-889d-61357636883e,2024-10-23 00:15:19
15,Muscogee,Georgia,1,#004FA2,93540,0.0010690613641223005,236,2024-10-23 00:15:18,b28e4850-0abd-46c1-9856-5b0e5928eb16,2024-10-23 00:15:19
26,Polk,Georgia,1,#004FA2,19967,0.005008263634997747,246,2024-10-23 00:15:18,0188fa88-74b6-4947-b2dd-a21143a41f6b,2024-10-23 00:15:19
48,Henry,Georgia,1,#004FA2,106723,0.0009370051441582414,205,2024-10-23 00:15:18,e89d9f8c-720c-4c34-aa1e-a48bbe17fbe3,2024-10-23 00:15:19
51,Dekalb,Georgia,1,#004FA2,361817,0.0002763828123056683,175,2024-10-23 00:15:18,585a8660-f217-4db4-93f2-a6a346aaa44e,2024-10-23 00:15:19
53,Gwinnett,Georgia,1,#004FA2,378041,0.00026452157305689066,197,2024-10-23 00:15:18,c7eaa7d4-a942-437b-89ac-041ba67e2c94,2024-10-23 00:15:19
56,Floyd,Georgia,1,#004FA2,47469,0.0021066380163896436,187,2024-10-23 00:15:18,c31d7f5c-587e-405b-90f1-ab6c18fc5dc9,2024-10-23 00:15:19
62,Whitfield,Georgia,4,#004FA2,38828,0.010301844030081385,285,2024-10-23 00:15:18,de4eb4bd-dfb4-467a-9195-4fb3344be149,2024-10-23 00:15:19
73,Lowndes,Georgia,5,#004FA2,61085,0.008185315543914218,222,2024-10-23 00:15:18,1ba90d39-8182-4b98-8421-93c8d0da39ad,2024-10-23 00:15:19
77,Berrien,Georgia,3,#004FA2,12125,0.024742268041237116,141,2024-10-23 00:15:18,ac0fa44e-3a71-46a3-96ef-c0a1acc1f76a,2024-10-23 00:15:19
78,Colquitt,Georgia,1,#004FA2,9154,0.010924186148131964,166,2024-10-23 00:15:18,a341f3f6-d201-4bc8-a541-061b81e86778,2024-10-23 00:15:19
79,Cook,Georgia,5,#014FA1,9179,0.05447216472382612,168,2024-10-23 00:15:18,295442cf-e3fa-418f-a769-2afe99d731d4,2024-10-23 00:15:19
80,Irwin,Georgia,35,#095399,6257,0.5593735016781205,207,2024-10-23 00:15:18,99f31885-9cb5-40c0-b367-30cbc487ec87,2024-10-23 00:15:19
82,Turner,Georgia,22,#06529C,5661,0.38862391803568275,272,2024-10-23 00:15:18,5a3558b4-12e1-49f7-9463-adc6e4e4aee0,2024-10-23 00:15:19
84,Coffee,Georgia,1,#004FA2,16907,0.005914709883480215,165,2024-10-23 00:15:18,717c5f68-9a82-4ddb-9001-46945498b6dd,2024-10-23 00:15:19
101,Ware,Georgia,33,#03509F,17649,0.18697943226245112,278,2024-10-23 00:15:18,2ed64d7e-1ad7-47d4-93de-ec30d8037a58,2024-10-23 00:15:19
106,Glynn,Georgia,10,#004FA2,51184,0.019537355423569866,193,2024-10-23 00:15:18,9b3f33f4-5ba9-4d65-a5c6-2e995c84515f,2024-10-23 00:15:19
143,Emanuel,Georgia,1,#004FA2,13133,0.007614406457016675,184,2024-10-23 00:15:18,4bbaf3a8-8d3f-42ac-ae00-eb17d6b357a0,2024-10-23 00:15:19
150,Richmond,Georgia,10,#004FA2,101886,0.009814891152857115,252,2024-10-23 00:15:18,7430f205-83c1-494b-b9db-6c15a1c575e1,2024-10-23 00:15:19
151,Chatham,Georgia,1,#004FA2,164606,0.0006075112693340461,156,2024-10-23 00:15:18,0da15935-fc26-4b81-8ab3-c77e28a4c718,2024-10-23 00:15:19
