objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
1,Decatur,Georgia,1,#004FA2,14118,0.007083156254426973,174,2024-10-09 11:50:22,4f1c9697-e63e-4cd8-b22f-9aa29ae35cd9,2024-10-09 11:50:35
4,Thomas,Georgia,2,#004FA2,9167,0.021817388458601508,267,2024-10-09 11:50:22,08cd162f-7d34-4506-8e91-1a1f0524178d,2024-10-09 11:50:35
5,Baker,Georgia,1,#014FA1,2730,0.03663003663003663,4229,2024-10-09 11:50:22,98c79a5e-2501-4fdd-bdb8-280b6d5a2479,2024-10-09 11:50:35
15,Muscogee,Georgia,1,#004FA2,93493,0.0010695987934925609,236,2024-10-09 11:50:22,b28e4850-0abd-46c1-9856-5b0e5928eb16,2024-10-09 11:50:35
16,Quitman,Georgia,6,#05519D,2011,0.29835902536051717,249,2024-10-09 11:50:22,d0c9ab04-2d8c-47ba-bc3c-70af3b0e86e2,2024-10-09 11:50:35
29,Meriwether,Georgia,1,#004FA2,16758,0.005967299200381907,229,2024-10-09 11:50:22,d481e88e-aedd-4008-ad68-3aa907d1e337,2024-10-09 11:50:35
30,Talbot,Georgia,1,#004FA2,4488,0.022281639928698752,261,2024-10-09 11:50:22,866fdd95-6492-4cb5-925f-47a9431ed002,2024-10-09 11:50:35
32,Crawford,Georgia,1,#004FA2,8439,0.011849745230477545,170,2024-10-09 11:50:22,44498961-5a6d-4f7e-999e-7cde9bb055a7,2024-10-09 11:50:35
34,Taylor,Georgia,1,#004FA2,5865,0.017050298380221655,264,2024-10-09 11:50:22,a6344b69-5ed7-4c67-a9a8-98e91a45683d,2024-10-09 11:50:35
37,Lamar,Georgia,4,#014FA1,11319,0.03533881084901493,215,2024-10-09 11:50:22,1c07b367-20a3-44c2-91d0-16f7fbeac6d1,2024-10-09 11:50:35
39,Pike,Georgia,53,#07539B,12076,0.4388870486916197,245,2024-10-09 11:50:22,caf5b83c-5e63-4183-b757-482c3429463b,2024-10-09 11:50:35
40,Spalding,Georgia,1,#004FA2,17313,0.005776006469127246,257,2024-10-09 11:50:22,aba97fb5-a77d-4933-abc3-8715736cf7bf,2024-10-09 11:50:35
42,Cobb,Georgia,1377,#06529C,347045,0.39677851575444106,164,2024-10-09 11:50:22,13cc04ee-4fee-4330-ab59-270d290361b8,2024-10-09 11:50:35
