objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
4,Thomas,Georgia,1,#004FA2,9184,0.01088850174216028,267,2024-10-31 11:19:14,08cd162f-7d34-4506-8e91-1a1f0524178d,2024-10-31 11:19:15
5,Baker,Georgia,1,#014FA1,2728,0.036656891495601175,4229,2024-10-31 11:19:14,98c79a5e-2501-4fdd-bdb8-280b6d5a2479,2024-10-31 11:19:15
12,Worth,Georgia,2,#004FA2,8711,0.022959476523935256,289,2024-10-31 11:19:14,8e1b5b62-0eae-4b6a-889d-61357636883e,2024-10-31 11:19:15
14,Marion,Georgia,5,#0250A0,3429,0.1458151064450277,226,2024-10-31 11:19:14,f782245b-9e5e-420a-901b-1ede775e74bb,2024-10-31 11:19:15
15,Muscogee,Georgia,13,#004FA2,93642,0.013882659490399607,236,2024-10-31 11:19:14,b28e4850-0abd-46c1-9856-5b0e5928eb16,2024-10-31 11:19:15
17,Randolph,Georgia,1,#004FA2,4795,0.020855057351407715,251,2024-10-31 11:19:14,ac2d7711-019d-4118-a3fd-b5a0b32f73f4,2024-10-31 11:19:15
21,Macon,Georgia,240,#3C6D66,6456,3.717472118959108,224,2024-10-31 11:19:14,92057156-be61-4924-9308-04cb0ddef964,2024-10-31 11:19:15
29,Meriwether,Georgia,9,#014FA1,16759,0.05370248821528731,229,2024-10-31 11:19:14,d481e88e-aedd-4008-ad68-3aa907d1e337,2024-10-31 11:19:15
35,Upson,Georgia,1,#004FA2,11577,0.008637816360024185,275,2024-10-31 11:19:14,c37ae3f2-7cdb-4008-9812-b5041ef0397e,2024-10-31 11:19:15
38,Monroe,Georgia,1,#004FA2,14094,0.007095217823187172,232,2024-10-31 11:19:14,ab7cac3c-8fbc-4f29-a48d-8aa7ef9aa8d7,2024-10-31 11:19:15
39,Pike,Georgia,2,#004FA2,12084,0.0165508109897385,245,2024-10-31 11:19:14,caf5b83c-5e63-4183-b757-482c3429463b,2024-10-31 11:19:15
42,Cobb,Georgia,24,#004FA2,347193,0.006912581762881165,164,2024-10-31 11:19:14,13cc04ee-4fee-4330-ab59-270d290361b8,2024-10-31 11:19:15
43,Coweta,Georgia,1,#004FA2,58571,0.0017073295658260915,169,2024-10-31 11:19:14,63274fc3-3a94-4804-9cda-b0d2b25560a2,2024-10-31 11:19:15
44,Douglas,Georgia,19,#004FA2,65689,0.02892417299700102,179,2024-10-31 11:19:14,3c3b2906-07ba-4508-9a02-fa74ddc0169d,2024-10-31 11:19:15
45,Fayette,Georgia,2,#004FA2,54761,0.0036522342543050717,186,2024-10-31 11:19:14,79029b74-bbc8-481d-9ecd-7ae4c1bf65a7,2024-10-31 11:19:15
46,Paulding,Georgia,8,#004FA2,73096,0.010944511327569224,241,2024-10-31 11:19:14,d8231557-9eef-46e9-a506-22b12651af49,2024-10-31 11:19:15
47,Clayton,Georgia,1,#004FA2,123909,0.0008070438789756999,162,2024-10-31 11:19:14,ab039b0b-a178-4697-9a92-a781c221c41e,2024-10-31 11:19:15
