objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
1,Decatur,Georgia,1,#004FA2,14124,0.007080147267063155,174,2024-10-14 10:51:57,4f1c9697-e63e-4cd8-b22f-9aa29ae35cd9,2024-10-14 10:51:58
5,Baker,Georgia,1,#014FA1,2729,0.03664345914254306,4229,2024-10-14 10:51:57,98c79a5e-2501-4fdd-bdb8-280b6d5a2479,2024-10-14 10:51:58
8,Dougherty,Georgia,2,#004FA2,11717,0.017069215669539985,178,2024-10-14 10:51:57,4fdf8179-bb15-4f84-9011-6c125e67d994,2024-10-14 10:51:58
11,Mitchell,Georgia,4,#014FA1,10577,0.03781790677885979,231,2024-10-14 10:51:57,19050b21-9129-45a6-8139-d0d6bbf4054e,2024-10-14 10:51:58
12,Worth,Georgia,6,#0150A1,8683,0.06910054128757342,289,2024-10-14 10:51:57,8e1b5b62-0eae-4b6a-889d-61357636883e,2024-10-14 10:51:58
15,Muscogee,Georgia,1,#004FA2,93510,0.0010694043417816277,236,2024-10-14 10:51:57,b28e4850-0abd-46c1-9856-5b0e5928eb16,2024-10-14 10:51:58
23,Sumter,Georgia,1,#004FA2,17281,0.005786702158439905,260,2024-10-14 10:51:57,d74020ed-2785-46a6-884c-61f1fbaccf04,2024-10-14 10:51:58
26,Polk,Georgia,1,#004FA2,19959,0.0050102710556641115,246,2024-10-14 10:51:57,0188fa88-74b6-4947-b2dd-a21143a41f6b,2024-10-14 10:51:58
29,Meriwether,Georgia,1,#004FA2,16768,0.005963740458015267,229,2024-10-14 10:51:57,d481e88e-aedd-4008-ad68-3aa907d1e337,2024-10-14 10:51:58
33,Peach,Georgia,1,#004FA2,5619,0.01779676098949991,242,2024-10-14 10:51:57,e50d5102-3f29-4364-9e4f-393d73cc9eba,2024-10-14 10:51:58
34,Taylor,Georgia,1,#004FA2,5870,0.017035775127768313,264,2024-10-14 10:51:57,a6344b69-5ed7-4c67-a9a8-98e91a45683d,2024-10-14 10:51:58
42,Cobb,Georgia,169,#014FA1,347034,0.048698398427819756,164,2024-10-14 10:51:57,13cc04ee-4fee-4330-ab59-270d290361b8,2024-10-14 10:51:58
43,Coweta,Georgia,2,#004FA2,58451,0.003421669432516125,169,2024-10-14 10:51:57,63274fc3-3a94-4804-9cda-b0d2b25560a2,2024-10-14 10:51:58
46,Paulding,Georgia,7,#004FA2,73083,0.009578150869559269,241,2024-10-14 10:51:57,d8231557-9eef-46e9-a506-22b12651af49,2024-10-14 10:51:58
47,Clayton,Georgia,1,#004FA2,123694,0.0008084466506055266,162,2024-10-14 10:51:57,ab039b0b-a178-4697-9a92-a781c221c41e,2024-10-14 10:51:58
48,Henry,Georgia,1,#004FA2,106700,0.000937207122774133,205,2024-10-14 10:51:57,e89d9f8c-720c-4c34-aa1e-a48bbe17fbe3,2024-10-14 10:51:58
49,Newton,Georgia,3,#004FA2,36101,0.00831001911304396,237,2024-10-14 10:51:57,302bd038-3826-46a1-a969-1264dbadfd13,2024-10-14 10:51:58
50,Rockdale,Georgia,1,#004FA2,41632,0.0024019984627209837,253,2024-10-14 10:51:57,88d42973-869d-4940-83bc-4cf6244cf820,2024-10-14 10:51:58
51,Dekalb,Georgia,30,#004FA2,361643,0.008295473713026382,175,2024-10-14 10:51:57,585a8660-f217-4db4-93f2-a6a346aaa44e,2024-10-14 10:51:58
52,Fulton,Georgia,23,#004FA2,521025,0.004414375509812388,190,2024-10-14 10:51:57,9c03a53a-ae74-499c-b638-9f6781013069,2024-10-14 10:51:58
53,Gwinnett,Georgia,13,#004FA2,377847,0.003440546041122465,197,2024-10-14 10:51:57,c7eaa7d4-a942-437b-89ac-041ba67e2c94,2024-10-14 10:51:58
54,Chattooga,Georgia,3,#004FA2,17586,0.0170590242238144,158,2024-10-14 10:51:57,8f1de9bf-0c64-4b97-bdad-34a1cc470e12,2024-10-14 10:51:58
55,Dade,Georgia,5,#014FA1,8387,0.05961607249314415,172,2024-10-14 10:51:57,3caf5894-4bd2-492f-8280-f2c8eb4028ec,2024-10-14 10:51:58
56,Floyd,Georgia,20,#014FA1,47458,0.042142526023009816,187,2024-10-14 10:51:57,c31d7f5c-587e-405b-90f1-ab6c18fc5dc9,2024-10-14 10:51:58
57,Walker,Georgia,1,#004FA2,26292,0.0038034383082306404,276,2024-10-14 10:51:57,961c8745-2f61-408c-8102-f9d798c557d4,2024-10-14 10:51:58
62,Whitfield,Georgia,1,#004FA2,38822,0.002575859048992839,285,2024-10-14 10:51:57,de4eb4bd-dfb4-467a-9195-4fb3344be149,2024-10-14 10:51:58
63,Cherokee,Georgia,5,#004FA2,126685,0.0039467971740932235,159,2024-10-14 10:51:57,88bcb51a-06f0-4d5e-9a3e-9c596628e4f7,2024-10-14 10:51:58
65,Forsyth,Georgia,7,#004FA2,112153,0.006241473701104741,188,2024-10-14 10:51:57,2268e356-74be-4166-a73a-959e2b46844b,2024-10-14 10:51:58
