objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
4,Thomas,Georgia,3,#014FA1,9181,0.03267617906546128,267,2024-10-30 10:28:44,08cd162f-7d34-4506-8e91-1a1f0524178d,2024-10-30 10:28:45
8,Dougherty,Georgia,3,#004FA2,11718,0.025601638504864313,178,2024-10-30 10:28:44,4fdf8179-bb15-4f84-9011-6c125e67d994,2024-10-30 10:28:45
11,Mitchell,Georgia,1,#004FA2,10585,0.00944733112895607,231,2024-10-30 10:28:44,19050b21-9129-45a6-8139-d0d6bbf4054e,2024-10-30 10:28:45
12,Worth,Georgia,12,#0250A0,8710,0.1377726750861079,289,2024-10-30 10:28:44,8e1b5b62-0eae-4b6a-889d-61357636883e,2024-10-30 10:28:45
14,Marion,Georgia,100,#2F6673,3429,2.916302128900554,226,2024-10-30 10:28:44,f782245b-9e5e-420a-901b-1ede775e74bb,2024-10-30 10:28:45
15,Muscogee,Georgia,11,#004FA2,93642,0.011746865722645822,236,2024-10-30 10:28:44,b28e4850-0abd-46c1-9856-5b0e5928eb16,2024-10-30 10:28:45
20,Lee,Georgia,4,#004FA2,15612,0.025621316935690495,218,2024-10-30 10:28:44,308a439f-34b3-4a59-abb4-f0cb548054ff,2024-10-30 10:28:45
21,Macon,Georgia,2,#014FA1,6456,0.030978934324659233,224,2024-10-30 10:28:44,92057156-be61-4924-9308-04cb0ddef964,2024-10-30 10:28:45
22,Schley,Georgia,1,#0150A1,1503,0.0665335994677312,254,2024-10-30 10:28:44,e85f9a18-3c09-4391-a9d4-3a8337b12303,2024-10-30 10:28:45
25,Haralson,Georgia,52,#05529D,15544,0.33453422542460115,201,2024-10-30 10:28:44,3a956a93-bd09-4808-a68c-c34a72f4798d,2024-10-30 10:28:45
30,Talbot,Georgia,1,#004FA2,4491,0.0222667557336896,261,2024-10-30 10:28:44,866fdd95-6492-4cb5-925f-47a9431ed002,2024-10-30 10:28:45
36,Butts,Georgia,1,#004FA2,10417,0.009599692809830085,149,2024-10-30 10:28:44,bb4c7e2c-66f8-4013-a57d-4203be7266d7,2024-10-30 10:28:45
37,Lamar,Georgia,1,#004FA2,11324,0.008830801836806781,215,2024-10-30 10:28:44,1c07b367-20a3-44c2-91d0-16f7fbeac6d1,2024-10-30 10:28:45
41,Carroll,Georgia,9,#004FA2,57960,0.015527950310559006,153,2024-10-30 10:28:44,80b4b202-bebf-4d65-831e-ce910f2370fc,2024-10-30 10:28:45
42,Cobb,Georgia,21,#004FA2,347192,0.006048526463743404,164,2024-10-30 10:28:44,13cc04ee-4fee-4330-ab59-270d290361b8,2024-10-30 10:28:45
43,Coweta,Georgia,1,#004FA2,58579,0.001707096399733693,169,2024-10-30 10:28:44,63274fc3-3a94-4804-9cda-b0d2b25560a2,2024-10-30 10:28:45
