objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
1,Decatur,Georgia,1,#004FA2,14135,0.007074637424831977,174,2024-11-02 10:50:13,4f1c9697-e63e-4cd8-b22f-9aa29ae35cd9,2024-11-02 10:50:14
12,Worth,Georgia,3,#014FA1,8712,0.03443526170798898,289,2024-11-02 10:50:13,8e1b5b62-0eae-4b6a-889d-61357636883e,2024-11-02 10:50:14
15,Muscogee,Georgia,9,#004FA2,93643,0.009610969319650161,236,2024-11-02 10:50:13,b28e4850-0abd-46c1-9856-5b0e5928eb16,2024-11-02 10:50:14
26,Polk,Georgia,1,#004FA2,19976,0.005006007208650381,246,2024-11-02 10:50:13,0188fa88-74b6-4947-b2dd-a21143a41f6b,2024-11-02 10:50:14
29,Meriwether,Georgia,1,#004FA2,16754,0.005968723886832995,229,2024-11-02 10:50:13,d481e88e-aedd-4008-ad68-3aa907d1e337,2024-11-02 10:50:14
41,Carroll,Georgia,1,#004FA2,57964,0.0017252087502587813,153,2024-11-02 10:50:13,80b4b202-bebf-4d65-831e-ce910f2370fc,2024-11-02 10:50:14
42,Cobb,Georgia,1,#004FA2,347178,0.0002880366843521191,164,2024-11-02 10:50:13,13cc04ee-4fee-4330-ab59-270d290361b8,2024-11-02 10:50:14
46,Paulding,Georgia,1,#004FA2,73110,0.001367801942278758,241,2024-11-02 10:50:13,d8231557-9eef-46e9-a506-22b12651af49,2024-11-02 10:50:14
48,Henry,Georgia,1,#004FA2,106784,0.0009364698831285587,205,2024-11-02 10:50:13,e89d9f8c-720c-4c34-aa1e-a48bbe17fbe3,2024-11-02 10:50:14
51,Dekalb,Georgia,10,#004FA2,362064,0.002761942639975253,175,2024-11-02 10:50:13,585a8660-f217-4db4-93f2-a6a346aaa44e,2024-11-02 10:50:14
52,Fulton,Georgia,153,#004FA2,521975,0.02931174864696585,190,2024-11-02 10:50:13,9c03a53a-ae74-499c-b638-9f6781013069,2024-11-02 10:50:14
53,Gwinnett,Georgia,2,#004FA2,378345,0.000528618060236028,197,2024-11-02 10:50:13,c7eaa7d4-a942-437b-89ac-041ba67e2c94,2024-11-02 10:50:14
57,Walker,Georgia,70,#04519E,26293,0.26623055566120263,276,2024-11-02 10:50:13,961c8745-2f61-408c-8102-f9d798c557d4,2024-11-02 10:50:14
61,Murray,Georgia,1,#004FA2,21943,0.004557261996992207,235,2024-11-02 10:50:13,33d16c06-94db-4760-bff4-fa36050d2d35,2024-11-02 10:50:14
62,Whitfield,Georgia,8,#004FA2,38834,0.020600504712365453,285,2024-11-02 10:50:13,de4eb4bd-dfb4-467a-9195-4fb3344be149,2024-11-02 10:50:14
63,Cherokee,Georgia,1,#004FA2,126742,0.0007890044342049201,159,2024-11-02 10:50:13,88bcb51a-06f0-4d5e-9a3e-9c596628e4f7,2024-11-02 10:50:14
65,Forsyth,Georgia,3,#004FA2,112300,0.0026714158504007124,188,2024-11-02 10:50:13,2268e356-74be-4166-a73a-959e2b46844b,2024-11-02 10:50:14
67,Pickens,Georgia,6,#004FA2,21995,0.027278927028870196,243,2024-11-02 10:50:13,b4d6cd5a-01a6-4824-a34f-f7450b0dbbe0,2024-11-02 10:50:14
68,Fannin,Georgia,70,#03519F,35712,0.19601254480286737,1162,2024-11-02 10:50:13,6d4fc4b6-3c8b-443a-8a8c-be8615ed0ea5,2024-11-02 10:50:14
