objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
2,Seminole,Georgia,1,#014FA1,1724,0.058004640371229696,256,2024-10-27 10:47:19,60aaf056-7d18-4050-8391-cd31338a38f3,2024-10-27 10:47:19
4,Thomas,Georgia,1,#004FA2,9177,0.010896807235480003,267,2024-10-27 10:47:19,08cd162f-7d34-4506-8e91-1a1f0524178d,2024-10-27 10:47:19
12,Worth,Georgia,2,#004FA2,8712,0.02295684113865932,289,2024-10-27 10:47:19,8e1b5b62-0eae-4b6a-889d-61357636883e,2024-10-27 10:47:19
26,Polk,Georgia,87,#07529B,19976,0.43552262715258305,246,2024-10-27 10:47:19,0188fa88-74b6-4947-b2dd-a21143a41f6b,2024-10-27 10:47:19
27,Harris,Georgia,1,#004FA2,17660,0.0056625141562853904,202,2024-10-27 10:47:19,947609e0-2935-4d84-8ebd-53b9fe957bbe,2024-10-27 10:47:19
28,Heard,Georgia,1,#004FA2,6228,0.016056518946692355,204,2024-10-27 10:47:19,cdffd155-7c21-40ed-88b9-0d2fd04be515,2024-10-27 10:47:19
31,Troup,Georgia,1,#004FA2,18604,0.0053751881315846056,271,2024-10-27 10:47:19,378c3761-fd2d-47cc-bf21-2b8e35a734d5,2024-10-27 10:47:19
40,Spalding,Georgia,1,#004FA2,17336,0.005768343331795108,257,2024-10-27 10:47:19,aba97fb5-a77d-4933-abc3-8715736cf7bf,2024-10-27 10:47:19
43,Coweta,Georgia,24,#014FA1,58581,0.040968914835868286,169,2024-10-27 10:47:19,63274fc3-3a94-4804-9cda-b0d2b25560a2,2024-10-27 10:47:19
48,Henry,Georgia,1,#004FA2,106787,0.000936443574592413,205,2024-10-27 10:47:19,e89d9f8c-720c-4c34-aa1e-a48bbe17fbe3,2024-10-27 10:47:19
51,Dekalb,Georgia,1,#004FA2,362063,0.00027619502683234686,175,2024-10-27 10:47:19,585a8660-f217-4db4-93f2-a6a346aaa44e,2024-10-27 10:47:19
52,Fulton,Georgia,32,#004FA2,521967,0.0061306557694260355,190,2024-10-27 10:47:19,9c03a53a-ae74-499c-b638-9f6781013069,2024-10-27 10:47:19
53,Gwinnett,Georgia,1,#004FA2,378266,0.00026436423046216157,197,2024-10-27 10:47:19,c7eaa7d4-a942-437b-89ac-041ba67e2c94,2024-10-27 10:47:19
54,Chattooga,Georgia,1,#004FA2,17600,0.005681818181818182,158,2024-10-27 10:47:19,8f1de9bf-0c64-4b97-bdad-34a1cc470e12,2024-10-27 10:47:19
63,Cherokee,Georgia,25,#004FA2,126717,0.019729002422721496,159,2024-10-27 10:47:19,88bcb51a-06f0-4d5e-9a3e-9c596628e4f7,2024-10-27 10:47:19
65,Forsyth,Georgia,2,#004FA2,112255,0.0017816578326132467,188,2024-10-27 10:47:19,2268e356-74be-4166-a73a-959e2b46844b,2024-10-27 10:47:19
66,Hall,Georgia,1,#004FA2,98011,0.0010202936405097386,199,2024-10-27 10:47:19,e54c40a3-7bfe-4f4e-a15f-13184405318d,2024-10-27 10:47:19
67,Pickens,Georgia,4,#004FA2,21995,0.01818595135258013,243,2024-10-27 10:47:19,b4d6cd5a-01a6-4824-a34f-f7450b0dbbe0,2024-10-27 10:47:19
68,Fannin,Georgia,5,#004FA2,35700,0.014005602240896357,1162,2024-10-27 10:47:19,6d4fc4b6-3c8b-443a-8a8c-be8615ed0ea5,2024-10-27 10:47:19
72,Brooks,Georgia,1,#004FA2,9322,0.010727311735679038,145,2024-10-27 10:47:19,03dff91e-42e0-4178-add9-1be3b21f4b6d,2024-10-27 10:47:19
73,Lowndes,Georgia,2,#004FA2,61071,0.0032748767827610486,222,2024-10-27 10:47:19,1ba90d39-8182-4b98-8421-93c8d0da39ad,2024-10-27 10:47:19
77,Berrien,Georgia,1,#004FA2,12114,0.008254911672445105,141,2024-10-27 10:47:19,ac0fa44e-3a71-46a3-96ef-c0a1acc1f76a,2024-10-27 10:47:19
78,Colquitt,Georgia,1,#004FA2,9192,0.010879025239338555,166,2024-10-27 10:47:19,a341f3f6-d201-4bc8-a541-061b81e86778,2024-10-27 10:47:19
79,Cook,Georgia,3,#014FA1,9176,0.03269398430688753,168,2024-10-27 10:47:19,295442cf-e3fa-418f-a769-2afe99d731d4,2024-10-27 10:47:19
81,Tift,Georgia,1,#004FA2,20687,0.0048339536907236426,268,2024-10-27 10:47:19,0b24c247-3ebd-4696-a5c5-9517a25040e4,2024-10-27 10:47:19
84,Coffee,Georgia,1,#004FA2,16899,0.005917509911829102,165,2024-10-27 10:47:19,717c5f68-9a82-4ddb-9001-46945498b6dd,2024-10-27 10:47:19
90,Houston,Georgia,452,#26627C,19150,2.360313315926893,206,2024-10-27 10:47:19,d8fdbd6f-8dab-4eec-8035-657268de73c5,2024-10-27 10:47:19
102,Bacon,Georgia,1,#004FA2,7112,0.014060742407199102,134,2024-10-27 10:47:19,7e683744-f21b-4e04-946c-02b4d0f2f188,2024-10-27 10:47:19
103,Pierce,Georgia,8,#0150A1,11262,0.07103534008169064,244,2024-10-27 10:47:19,12a0b92b-855b-45b3-9fd6-85a7dd32c448,2024-10-27 10:47:19
104,Wayne,Georgia,3,#004FA2,16922,0.017728400898238978,281,2024-10-27 10:47:19,d6d7eb95-9206-4d7f-bb8b-165a51e41e50,2024-10-27 10:47:19
105,Camden,Georgia,11,#014FA1,28399,0.03873375823092362,151,2024-10-27 10:47:19,5323e6e5-6cd4-4798-93f5-0ea8518f99b6,2024-10-27 10:47:19
110,Evans,Georgia,1,#004FA2,9907,0.01009387301907742,185,2024-10-27 10:47:19,03afd48b-77ec-44fb-be36-49965042a7c2,2024-10-27 10:47:19
111,Tattnall,Georgia,2,#004FA2,19001,0.010525761802010421,263,2024-10-27 10:47:19,ec8767bc-d51d-41ba-afd7-b210ead24e51,2024-10-27 10:47:19
116,Bulloch,Georgia,250,#07529B,58894,0.42449145923184023,147,2024-10-27 10:47:19,660abe24-2d55-4544-a238-9dd82e1fa44a,2024-10-27 10:47:19
118,Bibb,Georgia,1,#004FA2,79195,0.0012627059789128102,142,2024-10-27 10:47:19,a26dc8a8-064c-4e03-a279-dc9ab9554f38,2024-10-27 10:47:19
142,Burke,Georgia,4,#004FA2,14083,0.028403039125186397,148,2024-10-27 10:47:19,33b3e3b1-2f60-4e2d-9f90-e87a9364c162,2024-10-27 10:47:19
144,Jefferson,Georgia,1,#004FA2,9712,0.010296540362438222,211,2024-10-27 10:47:19,dbe29682-a81b-4577-b9b9-757f7b4a4645,2024-10-27 10:47:19
145,Jenkins,Georgia,1,#004FA2,5290,0.01890359168241966,212,2024-10-27 10:47:19,5289a982-a94b-414d-a990-9e1703d8b304,2024-10-27 10:47:19
147,Columbia,Georgia,1,#004FA2,70440,0.0014196479273140261,167,2024-10-27 10:47:19,f6703b0e-b078-4608-92a0-c7f17c581c18,2024-10-27 10:47:19
148,Lincoln,Georgia,1,#004FA2,8329,0.012006243246488173,220,2024-10-27 10:47:19,933f42ec-0c0e-4aeb-9854-fa21108ad9cb,2024-10-27 10:47:19
151,Chatham,Georgia,1,#004FA2,164698,0.0006071719146559157,156,2024-10-27 10:47:19,0da15935-fc26-4b81-8ab3-c77e28a4c718,2024-10-27 10:47:19
153,Franklin,Georgia,1,#004FA2,10042,0.00995817566221868,189,2024-10-27 10:47:19,ad7b0be2-61ff-417e-9525-7c7263ae0fea,2024-10-27 10:47:19
155,Rabun,Georgia,1,#004FA2,16182,0.006179705846001731,250,2024-10-27 10:47:19,faab712a-87d7-4d72-9075-2dcea6f25060,2024-10-27 10:47:19
156,Stephens,Georgia,1,#004FA2,14051,0.007116931179275497,258,2024-10-27 10:47:19,76a1cdce-2f0e-48d1-8c3b-3fc284fe2f3c,2024-10-27 10:47:19
158,White,Georgia,8,#014FA1,18168,0.044033465433729636,284,2024-10-27 10:47:19,7d190b1d-b058-4705-9d21-2a444125a025,2024-10-27 10:47:19
159,Hart,Georgia,10,#0250A0,10263,0.09743739647276625,203,2024-10-27 10:47:19,73ac497e-cee1-4606-a0f1-0856d2fe5194,2024-10-27 10:47:19
