objectid_1,name,state_name,outage_count,county_status,customer_count,percent_out,county_id,timestamp,global_id,edit_date
1,Decatur,Georgia,1,#004FA2,14107,0.007088679379031687,174,2024-09-26 18:55:05,4f1c9697-e63e-4cd8-b22f-9aa29ae35cd9,2024-09-26 18:55:06
15,Muscogee,Georgia,504,#095399,93542,0.538795407410575,236,2024-09-26 18:55:05,b28e4850-0abd-46c1-9856-5b0e5928eb16,2024-09-26 18:55:06
23,Sumter,Georgia,1,#004FA2,17275,0.0057887120115774245,260,2024-09-26 18:55:05,d74020ed-2785-46a6-884c-61f1fbaccf04,2024-09-26 18:55:06
26,Polk,Georgia,5,#004FA2,19957,0.025053865811494717,246,2024-09-26 18:55:05,0188fa88-74b6-4947-b2dd-a21143a41f6b,2024-09-26 18:55:06
27,Harris,Georgia,53,#05519D,17654,0.30021524866885696,202,2024-09-26 18:55:05,947609e0-2935-4d84-8ebd-53b9fe957bbe,2024-09-26 18:55:06
28,Heard,Georgia,1,#004FA2,6221,0.016074586079408457,204,2024-09-26 18:55:05,cdffd155-7c21-40ed-88b9-0d2fd04be515,2024-09-26 18:55:06
29,Meriwether,Georgia,341,#215F81,16740,2.037037037037037,229,2024-09-26 18:55:05,d481e88e-aedd-4008-ad68-3aa907d1e337,2024-09-26 18:55:06
32,Crawford,Georgia,1,#004FA2,8434,0.01185677021579322,170,2024-09-26 18:55:05,44498961-5a6d-4f7e-999e-7cde9bb055a7,2024-09-26 18:55:06
35,Upson,Georgia,91,#0D5595,11574,0.7862450319682046,275,2024-09-26 18:55:05,c37ae3f2-7cdb-4008-9812-b5041ef0397e,2024-09-26 18:55:06
36,Butts,Georgia,15,#0250A0,10410,0.1440922190201729,149,2024-09-26 18:55:05,bb4c7e2c-66f8-4013-a57d-4203be7266d7,2024-09-26 18:55:06
37,Lamar,Georgia,13,#0250A0,10527,0.12349197302175359,215,2024-09-26 18:55:05,1c07b367-20a3-44c2-91d0-16f7fbeac6d1,2024-09-26 18:55:06
38,Monroe,Georgia,246,#1D5D85,13599,1.8089565409221267,232,2024-09-26 18:55:05,ab7cac3c-8fbc-4f29-a48d-8aa7ef9aa8d7,2024-09-26 18:55:06
39,Pike,Georgia,1,#004FA2,12077,0.008280202036929701,245,2024-09-26 18:55:05,caf5b83c-5e63-4183-b757-482c3429463b,2024-09-26 18:55:06
40,Spalding,Georgia,2,#004FA2,17313,0.011552012938254492,257,2024-09-26 18:55:05,aba97fb5-a77d-4933-abc3-8715736cf7bf,2024-09-26 18:55:06
